speaker_name,amazon_url,product_id,wireless,bat_life,water_res,charging,special_feat,review_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",R302JDBXUIDW20,5.0 out of 5 stars Great Bluetooth Speaker,Robbie J. Jones,5,I bought these speakers to teach tap dancing to a large group. But! I’ve also enjoyed them on my deck. They are amazing with great volume and sound!,"Reviewed in the United States June 26, 2024",AHGJIZM6CXFRPHKIIEGZCZLE7EGA,TRUE,0,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",RLB4AV9Q6GUBA,5.0 out of 5 stars Great product!,Tech,5,Great product!,"Reviewed in the United States June 22, 2024",AFMP24F2GMLA52D5FKPZ4VC5V4GA,TRUE,0,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",R3EELMI54QK37F,"5.0 out of 5 stars Speaker, jammed!",Rick Munoz,5,"I thought it went quite loud, and had a great sound to it. I sold it to my cousin and he told me he pushed a button on it, and the thing just blew up with sound and flooded the entire backyard. 🧐 I give it a five star review with the sound I got out of it, I can only imagine how it really sounds if you know how to use it. . JBL’s always been great. 👍","Reviewed in the United States December 1, 2023",AHM2NFNOL43A5SZG6ZURZBUTMGPA,TRUE,0,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",R3V0RCFXW3B8XI,5.0 out of 5 stars Good purchase,MigPin14,5,Purchase as a gift. Great quality,"Reviewed in the United States February 24, 2024",AECULGUJ73RVEZPKGIBIBZHVA7FQ,TRUE,0,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",RNGB2M2UCQFIQ,5.0 out of 5 stars good buy,Amazon Customer,5,love it. sound is really good. able to connect to phone and computer very easy,"Reviewed in the United States December 14, 2023",AHNXFWWOXUX7VVONLIN4Y7RLW2VQ,TRUE,0,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",R2L1V3SBJSADY8,5.0 out of 5 stars Excelente,Nunca me llegó y estoy esperando el reembolso de mi dinero,5,Excelente artículo,"Reviewed in the United States January 6, 2024",AG5A4EO7LF2JXIMR3BAE6FJGDVSA,TRUE,0,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",R21C9G8N8R3ZPV,5.0 out of 5 stars Sounds great.,Janvick001,5,I have the original when it first came out. This newer version. Sounds much better and love the carrying/travel case.,"Reviewed in the United States October 1, 2023",AFDJOYD3BLRNCNQCHJ4UOLMOUIWA,TRUE,0,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",R1CYE0Q278PLSM,4.0 out of 5 stars No se q le paso a mi JBL XTREME 3 se le fue el ruido,Sebastian Gomez Lopez,4,De repente se le fue en sonido a mi jbl xtreme 3,"Reviewed in the United States September 15, 2024",AGU2GR5BNB24QGR2UONAKKGIENAA,TRUE,0,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",RHK08K6CXBIKX,3.0 out of 5 stars Not sure it's worth 300,michael lokken,3,"Ordered this less in a year ago actually ended up buying too we haven't used them too much but loves the feature that you could connect them together, never max volume and this one of the 2 already is sounding distorted Idk if I got a faulty one the other ones seems to be working great. Once again haven't been used more then 24 play hours maybe 48 tops and never at full volume. Going to reach out the company and see if they back there product and will give me a new one or fix the one u have. Very sad was so excited when getting this and showing them off to all my friends","Reviewed in the United States May 5, 2023",AFE2ZTQIZ4L72AWEIGSIY5SM4PQA,TRUE,2,
JBL Xtreme 3,https://www.amazon.com/JBL-Xtreme-Portable-Bluetooth-Speaker/dp/B09KYD29QC/ref=sr_1_1?crid=23OGG33LQ2YDN&dib=eyJ2IjoiMSJ9.Zxcdy1r5Le31c3uihxjtXM6I7oHrtm9XvhPX0cdjPRI8SMX6L9vm9FU8LBirJrIUFzSFF8boTK4LU-XY-JRVGgXg7DMeAu7oQAVUu88o7QduAVY_e3Ib1FqTmbAkWiZnAAvUzllF-iJlUhhSid2KKBtG-kKD5UZjlVL-xAfHYn3SSS600muFxhGIgTp-htGHY-iiJtafyYBfvCmw_mZGGbd13NoSzxqzo1lVVSZIjsU.-gUXyelwJ0lExFPg5oACeVZjMl6yhNop1FInREtGg5E&dib_tag=se&keywords=JBL+Xtreme+3&qid=1728136952&sprefix=%2Caps%2C373&sr=8-1,B09KYD29QC,Yes,Up to 15 hours,IP67,Built-in power bank,"Powerful bass, PartyBoost feature",R3OQ9FKN0PJGPI,5.0 out of 5 stars Great Bluetooth Speaker,kansanphi,5,Expect a lot of sound from such a small and lightweight speaker. Easy to pair and synch up Bluetooth connectivity. Range with Bluetooth is exceptional. Easy to use PartyBoost and have stero affect. A tad bit more than what I had intended to pay but I'm glad I went through with the purchase. I am completely satisfied and would purchase again if needed.,"Reviewed in the United States August 29, 2022",AHQHLEAIJ4DSQXUPVBX6FNWQKEBA,TRUE,2,
